Year,Temperature
1880,56.80
1881,56.95
1882,56.89
1883,56.84
1884,56.71
1885,56.75
1886,56.77
1887,56.62
1888,56.84
1889,57.02
1890,56.61
1891,56.71
1892,56.62
1893,56.55
1894,56.61
1895,56.75
1896,56.88
1897,56.86
1898,56.62
1899,56.82
1900,56.93
1901,56.82
1902,56.66
1903,56.55
1904,56.43
1905,56.66
1906,56.73
1907,56.44
1908,56.43
1909,56.35
1910,56.37
1911,56.41
1912,56.46
1913,56.50
1914,56.79
1915,56.91
1916,56.55
1917,56.41
1918,56.62
1919,56.68
1920,56.71
1921,56.82
1922,56.68
1923,56.73
1924,56.77
1925,56.80
1926,57.04
1927,56.86
1928,56.89
1929,56.62
1930,56.98
1931,57.06
1932,57.00
1933,56.73
1934,57.02
1935,56.91
1936,57.00
1937,57.24
1938,57.29
1939,57.20
1940,57.31
1941,57.33
1942,57.29
1943,57.29
1944,57.43
1945,57.20
1946,57.06
1947,57.11
1948,57.00
1949,56.98
1950,56.86
1951,57.07
1952,57.22
1953,57.34
1954,56.98
1955,56.97
1956,56.86
1957,57.27
1958,57.29
1959,57.25
1960,57.13
1961,57.31
1962,57.29
1963,57.34
1964,56.84
1965,57.00
1966,57.13
1967,57.18
1968,57.11
1969,57.33
1970,57.27
1971,57.09
1972,57.24
1973,57.47
1974,57.07
1975,57.18
1976,56.98
1977,57.47
1978,57.29
1979,57.42
1980,57.60
1981,57.70
1982,57.36
1983,57.69
1984,57.40
1985,57.33
1986,57.45
1987,57.70
1988,57.81
1989,57.61
1990,57.90
1991,57.87
1992,57.52
1993,57.54
1994,57.70
1995,57.96
1996,57.78
1997,58.01
1998,58.30
1999,57.90
2000,57.92
2001,58.14
2002,58.28
2003,58.26
2004,58.14
2005,58.37
2006,58.26
2007,58.32
2008,58.08
2009,58.26
2010,58.39
2011,58.17
2012,58.21
2013,58.32
2014,58.44
2015,58.74
2016,58.81
2017,58.63
