Date,DateI,Close Price
9/30/2017,1,4353.05
10/1/2017,2,4394.64
10/2/2017,3,4404.1
10/3/2017,4,4320.09
10/4/2017,5,4225.92
10/5/2017,6,4322.75
10/6/2017,7,4370.24
10/7/2017,8,4437.03
10/8/2017,9,4596.96
10/9/2017,10,4772.97
10/10/2017,11,4754.7
10/11/2017,12,4830.77
10/12/2017,13,5439.13
10/13/2017,14,5640.13
10/14/2017,15,5809.69
10/15/2017,16,5697.39
10/16/2017,17,5754.22
10/17/2017,18,5595.23
10/18/2017,19,5572.2
10/19/2017,20,5699.58
10/20/2017,21,5984.09
10/21/2017,22,6013.23
10/22/2017,23,5984.96
10/23/2017,24,5895.3
10/24/2017,25,5518.85
10/25/2017,26,5733.9
10/26/2017,27,5888.14
10/27/2017,28,5767.68
10/28/2017,29,5732.82
10/29/2017,30,6140.53
10/30/2017,31,6121.8
10/31/2017,32,6447.67
11/1/2017,33,6750.17
11/2/2017,34,7030
11/3/2017,35,7161.45
11/4/2017,36,7387
11/5/2017,37,7382.45
11/6/2017,38,6958.21
11/7/2017,39,7118.8
11/8/2017,40,7458.79
11/9/2017,41,7146.78
11/10/2017,42,6570.31
11/11/2017,43,6337
11/12/2017,44,5857.32
11/13/2017,45,6517.68
11/14/2017,46,6598.77
11/15/2017,47,7279
11/16/2017,48,7843.94
11/17/2017,49,7689.91
11/18/2017,50,7776.94
11/19/2017,51,8033.94
11/20/2017,52,8238.2
11/21/2017,53,8095.59
11/22/2017,54,8230.69
11/23/2017,55,8002.64
11/24/2017,56,8201.46
11/25/2017,57,8763.78
11/26/2017,58,9326.59
11/27/2017,59,9739.05
11/28/2017,60,9908.23
11/29/2017,61,9816.35
11/30/2017,62,9916.54
12/1/2017,63,10859.56
12/2/2017,64,10895.01
12/3/2017,65,11180.89
12/4/2017,66,11616.85
12/5/2017,67,11696.06
12/6/2017,68,13708.99
12/7/2017,69,16858.02
12/8/2017,70,16057.14
12/9/2017,71,14913.4
12/10/2017,72,15036.96
12/11/2017,73,16699.68
12/12/2017,74,17178.1
12/13/2017,75,16407.2
12/14/2017,76,16531.08
12/15/2017,77,17601.94
12/16/2017,78,19343.04
12/17/2017,79,19086.64
12/18/2017,80,18960.52
12/19/2017,81,17608.35
12/20/2017,82,16454.72
12/21/2017,83,15561.05
12/22/2017,84,13857.14
12/23/2017,85,14548.71
12/24/2017,86,13975.44
12/25/2017,87,13917.03
12/26/2017,88,15745.26
12/27/2017,89,15378.28
12/28/2017,90,14428.76
12/29/2017,91,14427.87
12/30/2017,92,12629.81
12/31/2017,93,13860.14
1/1/2018,94,13412.44
1/2/2018,95,14740.76
1/3/2018,96,15134.65
1/4/2018,97,15155.23
1/5/2018,98,16937.17
1/6/2018,99,17135.84
1/7/2018,100,16178.49
1/8/2018,101,14970.36
1/9/2018,102,14439.47
1/10/2018,103,14890.72
1/11/2018,104,13287.26
1/12/2018,105,13812.71
1/13/2018,106,14188.78
1/14/2018,107,13619.03
1/15/2018,108,13585.9
1/16/2018,109,11348.02
1/17/2018,110,11141.25
1/18/2018,111,11250.65
1/19/2018,112,11514.92
1/20/2018,113,12759.64
1/21/2018,114,11522.86
1/22/2018,115,10772.15
1/23/2018,116,10839.83
1/24/2018,117,11399.52
1/25/2018,118,11137.24
1/26/2018,119,11090.06
1/27/2018,120,11407.15
1/28/2018,121,11694.47
1/29/2018,122,11158.39
1/30/2018,123,10035
1/31/2018,124,10166.51
2/1/2018,125,9052.58
2/2/2018,126,8827.63
2/3/2018,127,9224.39
2/4/2018,128,8186.65
2/5/2018,129,6914.26
2/6/2018,130,7700.39
2/7/2018,131,7581.8
2/8/2018,132,8237.24
2/9/2018,133,8689.84
2/10/2018,134,8556.61
2/11/2018,135,8070.8
2/12/2018,136,8891.21
2/13/2018,137,8516.24
2/14/2018,138,9477.84
2/15/2018,139,10016.49
2/16/2018,140,10178.71
2/17/2018,141,11092.15
2/18/2018,142,10396.63
2/19/2018,143,11159.72
2/20/2018,144,11228.24
2/21/2018,145,10456.17
2/22/2018,146,9830.43
2/23/2018,147,10149.46
2/24/2018,148,9682.38
2/25/2018,149,9586.46
2/26/2018,150,10313.08
2/27/2018,151,10564.42
